Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
TRUSTMF Banking & PSU FundNAReg(G),Debt : Banking & PSU,Jalpan Shah,Open Ended,CRISIL Banking and PSU Debt Index,131.4,0.71,1257.56,8.64,6.34,15.835,10.335,0.0,160311,2.58,2.18,7.13,0.15,0.41,0.56,0.89,1.44,4
TRUSTMF Corporate Bond FundNAReg(G),Debt : Corporate Bond,Jalpan Shah,Open Ended,CRISIL Corporate Bond Index,55.1,0.65,1180.24,8.9,12.555,15.835,10.335,0.0,160311,5.75,4.42,7.01,0.12,0.98,1.19,0.36,1.01,2
TRUSTMF Flexi Cap FundNAReg(G),Equity : Flexi Cap,Mihir Vora,Open Ended,NIFTY 500 NA TRI,913.8,2.18,10.72,8.08,12.555,15.835,10.335,20.84,112674,3.105,2.595,7.065,0.22,0.07,0.12,1.07,17.94,0
TRUSTMF Liquid FundNAReg(G),Debt : Liquid,Jalpan Shah,Open Ended,CRISIL Liquid Debt Index,507.6,0.25,1255.86,7.14,6.7,15.835,10.335,0.0,160311,0.18,0.16,6.91,0.15,2.61,0.96,1.07,0.28,3
TRUSTMF Money Market FundNAReg(G),Debt : Money Market,Jalpan Shah,Open Ended,CRISIL Money Market Index,90.7,0.46,1206.69,7.69,12.555,15.835,10.335,0.0,160311,0.61,0.56,7.09,0.13,2.53,0.96,0.51,0.35,2
TRUSTMF Overnight FundNAReg(G),Debt : Overnight,Jalpan Shah,Open Ended,CRISIL Liquid Overnight Index,70.8,0.12,1212.44,6.52,6.28,15.835,10.335,0.0,160311,0.01,0.01,6.6,0.15,2.91,0.88,1.08,0.21,3
TRUSTMF Short Duration FundNAReg(G),Debt : Short Duration,Jalpan Shah,Open Ended,CRISIL Short Duration Debt Index,80.3,0.73,1239.37,9.02,6.65,15.835,10.335,0.0,160311,3.41,2.72,7.14,0.07,0.57,0.81,0.36,1.23,3
TRUSTMF Small Cap FundNAReg(G),Equity : Small Cap,Mihir Vora,Open Ended,Nifty Smallcap 250 NA TRI,817.3,2.23,9.13,8.43,12.555,15.835,10.335,20.84,20324,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Unifi Dynamic Asset Allocation FundNAReg(G),Hybrid : Dynamic Asset Allocation,Saravanan V N,Open Ended,CRISIL Hybrid 50+50 NA Moderate Index,527.8,1.52,10.14,8.43,12.555,15.835,10.335,20.84,278138,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Union Active Momentum FundNAReg(G),Equity : Thematic,Gaurav Chopra,Open Ended,NIFTY 500 NA TRI,403.7,2.49,8.26,8.43,12.555,15.835,10.335,20.84,52384,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Union Aggressive Hybrid FundNAReg(G),Hybrid : Equity Oriented,Sanjay Bembalkar,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,618.6,2.38,17.25,6.14,12.18,15.835,10.335,73.0,221511,5.77,4.04,7.06,0.15,0.18,0.34,1.09,10.85,4
Union Arbitrage FundNAReg(G),Hybrid : Arbitrage,Vishal Thakker,Open Ended,Nifty 50 Arbitrage,302.6,1.06,13.91,7.15,6.54,5.26,10.335,1311.0,169720,0.14,0.13,7.05,0.03,1.09,0.96,0.68,0.62,6
Union Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Sanjay Bembalkar,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,1365.4,2.16,19.57,5.89,9.79,12.87,10.335,469.0,260608,4.36,2.95,6.82,0.08,0.2,0.41,0.52,7.11,7
Union Business Cycle FundNAReg(G),Equity : Thematic,Harshad Patwardhan,Open Ended,NIFTY 500 NA TRI,550.0,2.36,10.53,1.63,12.555,15.835,10.335,210.0,242417,3.105,2.595,7.065,0.15,0.28,0.01,1.05,15.83,1
Union Childrens FundNAReg(G),Hybrid : Solution Oriented,Gaurav Chopra,Open Ended,BSE 500 NA TRI,61.9,2.41,11.52,7.15,12.555,15.835,10.335,94.0,114453,3.105,2.595,7.065,0.02,0.12,0.2,1.01,13.97,1
Union Corporate Bond FundNAReg(G),Debt : Corporate Bond,Parijat Agrawal,Open Ended,CRISIL Corporate Bond Index,319.9,0.71,15.16,9.72,6.71,6.34,10.335,0.0,160311,4.93,3.74,7.12,0.06,0.47,0.74,0.41,1.49,6
Union Dynamic Bond Fund(G),Debt : Dynamic Bond,Parijat Agrawal,Open Ended,CRISIL Dynamic Bond Index,77.8,1.56,23.56,11.81,7.35,5.69,6.24,0.0,160311,16.52,8.75,6.79,0.15,0.36,0.8,1.57,2.46,13
Union ELSS Tax Saver Fund(G),Equity : Tax Saving (ELSS),Vinod Malviya,Open Ended,BSE 500 NA TRI,860.0,2.31,60.55,3.48,14.14,22.39,11.49,97.0,164049,3.105,2.595,7.065,0.15,0.19,0.35,0.92,13.79,13
Union Equity Savings FundNAReg(G),Hybrid : Equity Oriented,Sanjay Bembalkar,Open Ended,Crisil Equity Savings Index,135.9,2.02,16.48,5.64,7.85,9.24,10.335,767.0,224059,1.23,0.87,6.77,0.15,0.2,0.41,0.79,4.62,6
Union Flexi Cap FundNAReg(G),Equity : Flexi Cap,Sanjay Bembalkar,Open Ended,BSE 500 NA TRI,2158.7,2.07,48.33,4.6,14.34,22.13,11.77,138.0,189702,3.105,2.595,7.065,0.15,0.19,0.35,0.93,13.86,13
Union Focused FundNAReg(G),Equity : Multi Cap,Pratik Dharmshi,Open Ended,BSE 500 NA TRI,389.3,2.51,23.94,1.23,11.52,19.52,10.335,148.0,212415,3.105,2.595,7.065,0.15,0.14,0.26,0.86,13.21,5
Union Gilt FundNAReg(G),Debt : Gilt,Parijat Agrawal,Open Ended,CRISIL Dynamic Gilt Index,129.0,1.14,12.38,12.07,12.555,15.835,10.335,0.0,160311,23.11,10.11,6.8,0.15,0.46,1.12,0.88,2.54,2
Union Gold ETF,Gold : ETFs,Vinod Malviya,Open Ended,GoldNAIndia,136.0,0.54,93.21,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Union Gold ETF FoFNAReg(G),Gold : MFs,Vinod Malviya,Open Ended,GoldNAIndia,56.9,0.59,11.05,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Union Innovation & Opp FundNAReg(G),Equity : Thematic,Gaurav Chopra,Open Ended,NIFTY 500 NA TRI,854.3,2.28,12.65,10.07,12.555,15.835,10.335,58.0,36578,3.105,2.595,7.065,0.15,0.18,0.29,1.11,19.06,1
Union Large & Midcap FundNAReg(G),Equity : Large & Mid Cap,Vinod Malviya,Open Ended,NIFTY LargeMidcap 250 NA TRI,807.4,2.33,23.69,4.22,13.76,22.09,10.335,180.0,140354,3.105,2.595,7.065,0.15,0.18,0.34,0.94,14.79,5
Union Largecap FundNAReg(G),Equity : Large Cap,Sanjay Bembalkar,Open Ended,BSE 100 NA TRI,431.8,2.5,22.66,2.39,12.35,19.1,10.335,150.0,392714,3.105,2.595,7.065,0.15,0.15,0.29,0.96,13.23,7
Union Liquid Fund(G),Debt : Liquid,Devesh Thacker,Open Ended,CRISIL Liquid Debt Index,3206.4,0.18,2486.15,7.29,6.83,5.45,5.84,0.0,160311,0.18,0.17,7.07,0.15,2.5,0.98,1.12,0.3,13
Union Medium Duration FundNAReg(G),Debt : Medium Duration,Parijat Agrawal,Open Ended,CRISIL Medium Duration Debt Index,80.4,0.86,12.42,7.74,5.5,15.835,10.335,0.0,160311,4.71,3.68,6.8,2.22,3.38,6.08,0.52,1.11,4
Union Midcap FundNAReg(G),Equity : Mid Cap,Gaurav Chopra,Open Ended,BSE 150 MidCap NA TRI,1312.9,2.13,43.08,6.53,16.48,29.09,10.335,194.0,53664,3.105,2.595,7.065,0.15,0.21,0.4,0.95,16.77,5
Union Money Market FundNAReg(G),Debt : Money Market,Parijat Agrawal,Open Ended,CRISIL Money Market Index,167.3,0.89,1220.14,7.07,6.18,15.835,10.335,0.0,160311,0.69,0.64,7.18,0.09,1.39,0.8,0.41,0.43,3
Union Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Sanjay Bembalkar,Open Ended,NIFTY 50 NA TRI,793.8,2.15,10.26,8.43,12.555,15.835,10.335,0.0,220329,7.16,4.71,6.99,0.15,0.28,0.55,0.94,12.62,0
Union Multicap FundNAReg(G),Equity : Mid Cap,Harshad Patwardhan,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,1042.0,2.24,14.61,4.63,12.555,15.835,10.335,135.0,103388,3.105,2.595,7.065,0.15,0.29,0.52,0.95,14.25,2
Union Overnight FundNAReg(G),Debt : Overnight,Tarun Singh,Open Ended,CRISIL Liquid Overnight Index,252.9,0.18,1342.57,6.48,6.25,4.97,10.335,0.0,160311,0.01,0.01,7.39,0.15,2.78,0.89,0.91,0.21,6
Union Retirement FundNAReg(G),Hybrid : Solution Oriented,Pratik Dharmshi,Open Ended,BSE 500 NA TRI,154.8,2.38,14.67,5.15,12.555,15.835,10.335,64.0,169428,3.105,2.595,7.065,0.06,0.28,0.54,0.92,12.44,2
Union Short Duration FundNAReg(G),Debt : Short Duration,Anindya Sarkar,Open Ended,CRISIL Short Duration Debt Index,542.7,0.85,10.28,8.43,12.555,15.835,10.335,0.0,160311,3.29,2.62,7.18,0.15,0.28,0.55,0.94,12.62,0
Union Small Cap FundNAReg(G),Equity : Small Cap,Pratik Dharmshi,Open Ended,BSE 250 Small Cap NA TRI,1444.1,2.16,43.18,0.3,14.19,29.1,13.68,119.0,17971,3.105,2.595,7.065,0.15,0.16,0.27,0.87,18.82,10
Union Value FundNAReg(G),Equity : Value / Contra,Vinod Malviya,Open Ended,BSE 500 NA TRI,292.2,2.45,26.42,5.71,17.05,23.91,10.335,98.0,139724,3.105,2.595,7.065,0.2,0.24,0.47,0.94,14.25,6
UTI Aggressive Hybrid FundNAReg(G),Hybrid : Equity Oriented,V. Srivatsa,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,5910.1,1.88,391.35,10.51,16.99,22.38,12.1,35.0,153426,10.54,6.75,6.95,0.3,0.32,0.66,1.04,10.36,30
UTI Annual Interval FundNAINA(G),Debt : FTP/FMP,Sunil Patil,Interval,CRISIL Low Duration Debt Index,23.2,1.04,34.04,6.75,6.28,5.78,5.87,0.0,160311,0.18,2.595,7.065,0.11,1.52,0.9,0.23,0.42,17
UTI Annual Interval FundNAIINA(G),Debt : FTP/FMP,Sunil Patil,Interval,CRISIL Low Duration Debt Index,12.9,1.04,33.31,6.87,6.26,5.19,10.335,0.0,160311,0.06,2.595,7.065,0.15,1.77,0.84,0.76,0.36,17
UTI Arbitrage FundNAReg(G),Hybrid : Arbitrage,Sharwan Kumar Goyal,Open Ended,Nifty 50 Arbitrage,6614.1,0.75,34.71,7.52,6.75,5.5,5.86,1200.0,203486,0.77,0.77,7.21,0.05,1.24,1.0,0.67,0.6,18
UTI Balanced Advantage FundNAReg(G),Hybrid : Dynamic Asset Allocation,Sachin Trivedi,Open Ended,NIFTY 50 Hybrid Composite Debt 50:50 Index,2874.4,1.96,12.36,10.21,12.555,15.835,10.335,249.0,364497,3.69,2.92,7.03,0.23,0.34,0.72,0.56,6.81,1
UTI Banking & PSU FundNAReg(G),Debt : Banking & PSU,Anurag Mittal,Open Ended,NIFTY Banking and PSU Debt Index,785.2,0.53,21.69,8.91,9.15,7.37,6.89,0.0,160311,2.4,2.08,7.14,0.37,0.44,1.22,0.09,3.19,11
UTI Banking and Financial Services FundNAReg(G),Equity : Sectoral NA Financial Services,Preethi R S,Open Ended,Nifty Financial Services NA TRI,1211.2,2.19,182.72,15.3,18.21,22.18,10.89,56.0,246555,3.105,2.595,7.065,0.15,0.23,0.48,0.96,15.56,19
UTI BSE Housing Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,BSE Housing NA TRI,23.8,0.99,13.78,0.4,12.555,15.835,10.335,54.13,79040,3.105,2.595,7.065,0.13,0.22,0.41,1.26,18.7,1
UTI BSE Low Volatility Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,BSE Low Volatility Index NA TRI,534.4,0.91,16.08,2.4,16.09,15.835,10.335,59.93,216033,3.105,2.595,7.065,1.58,0.27,0.54,0.99,12.22,3
UTI BSE Sensex ETF,Equity : ETFs,Sharwan Kumar Goyal,Open Ended,BSE SENSEX NA TRI,44416.5,0.05,873.57,8.75,13.35,20.24,10.335,17.66,669845,9.19,6.18,6.83,0.15,0.17,0.35,1.0,12.77,9
UTI BSE Sensex Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,BSE SENSEX NA TRI,194.0,0.3,14.24,8.44,13.03,15.835,10.335,14.0,669845,3.105,2.595,7.065,0.15,0.16,0.34,1.0,12.77,3
UTI BSE Sensex Next 50 ETF,Equity : ETFs,Sharwan Kumar Goyal,Open Ended,BSE Sensex Next 50 NA TRI,24.6,0.22,84.68,7.86,17.69,26.4,10.335,34.01,115429,3.105,2.595,7.065,0.15,0.23,0.42,1.0,17.65,6
UTI Childrens Equity Fund(G),Hybrid : Solution Oriented,Vishal Chopda,Open Ended,NIFTY 500 NA TRI,1058.4,2.26,80.89,6.82,12.19,20.19,11.82,27.0,210088,3.105,2.595,6.79,0.15,0.14,0.26,0.95,14.37,21
UTI Childrens Hybrid Fund,Hybrid : Solution Oriented,Vishal Chopda,Open Ended,CRISIL Short Term Debt Hybrid 60+40 Index,4457.2,1.73,39.69,9.76,9.9,13.04,8.72,34.0,209209,10.7,6.7,6.99,0.15,0.23,0.48,0.99,6.3,31
UTI Conservative Hybrid FundNAReg(G),Hybrid : Debt Oriented (Conservative),Amit Premchandani,Open Ended,NIFTY 50 Hybrid Composite Debt 15:85 Index,1648.0,1.81,68.51,11.3,10.0,12.19,8.36,31.0,186589,9.95,6.34,6.99,0.1,0.35,0.75,0.96,4.34,21
UTI Corporate Bond FundNAReg(G),Debt : Corporate Bond,Anurag Mittal,Open Ended,NIFTY Corporate Bond Index,5007.2,0.58,16.27,9.73,7.1,6.77,10.335,0.0,160311,5.07,3.77,7.16,0.11,0.65,0.96,0.36,1.26,6
UTI Credit Risk FundNAReg(G),Debt : Credit Risk,Sunil Patil,Open Ended,CRISIL Credit Risk Debt Index,287.9,1.68,16.91,8.82,6.79,7.49,3.05,0.0,160311,3.04,2.19,7.99,0.12,0.72,0.92,0.28,1.05,12
UTI CRISIL SDL Maturity April 2033 Index FundNAReg(G),Debt : Long Duration,Sunil Patil,Open Ended,CRISIL IBX SDL Index NA April 2033,350.2,0.4,12.37,12.12,12.555,15.835,10.335,0.0,160311,7.73,5.72,7.04,0.04,0.62,1.36,0.86,2.39,2
UTI CRISIL SDL Maturity June 2027 Index FundNAReg(G),Debt : Medium to Long Duration,Sunil Patil,Open Ended,CRISIL IBX SDL Index NA June 2027,75.2,0.4,11.9,9.14,12.555,15.835,10.335,0.0,160311,1.98,1.78,6.87,0.14,0.96,1.24,0.37,1.11,2
UTI Dividend Yield FundNAReg(G),Equity : Thematic NA Dividend Yield,Amit Premchandani,Open Ended,NIFTY 500 NA TRI,3855.4,1.99,168.51,11.59,18.08,24.26,13.51,26.0,177756,3.105,2.595,7.065,0.25,0.25,0.49,0.91,14.29,19
UTI Dynamic Bond FundNAReg(G),Debt : Dynamic Bond,Pankaj Pathak,Open Ended,CRISIL Dynamic Bond Index,447.1,1.53,30.92,10.5,9.81,9.06,6.94,0.0,160311,8.04,5.48,6.94,0.15,0.37,1.55,1.11,4.23,14
UTI ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Vishal Chopda,Open Ended,NIFTY 500 NA TRI,3592.5,1.9,196.99,7.21,12.69,20.67,12.01,24.0,209937,3.105,2.595,7.065,0.15,0.15,0.27,0.95,14.41,19
UTI Equity Savings FundNAReg(G),Hybrid : Equity Oriented,V. Srivatsa,Open Ended,Crisil Equity Savings Index,668.1,1.61,18.01,7.81,11.09,12.89,10.335,509.0,340302,4.75,3.51,6.5,0.2,0.38,0.81,0.87,4.68,6
UTI Flexi Cap FundNAReg(G),Equity : Flexi Cap,Ajay Tyagi,Open Ended,NIFTY 500 NA TRI,24531.5,1.67,311.07,13.77,9.09,18.94,12.15,10.0,157023,3.105,2.595,7.065,0.15,0.08,0.14,0.92,14.68,19
UTI Floater FundNAReg(G),Debt : Floater,Pankaj Pathak,Open Ended,CRISIL Short Duration Debt Index,1384.9,0.8,1481.92,7.72,6.59,5.76,10.335,0.0,160311,1.59,1.33,7.67,0.15,1.08,0.88,0.15,0.65,6
UTI Focused FundNAReg(G),Equity : Flexi Cap,Vishal Chopda,Open Ended,NIFTY 500 NA TRI,2497.5,1.99,14.87,6.49,15.65,15.835,10.335,27.0,243088,3.105,2.595,7.065,0.13,0.22,0.43,0.89,13.79,3
UTI Gilt Fund with 10 year Constant DurationNAReg(G),Debt : Gilt (10 Yr Constant Duration),Jaydeep Bhowal,Open Ended,Crisil 10 Yr Gilt Index,168.7,0.7,12.61,12.16,12.555,15.835,10.335,0.0,160311,9.85,6.83,6.72,0.15,0.53,1.11,0.96,2.54,2
UTI Gilt FundNAReg(G),Debt : Gilt,Pankaj Pathak,Open Ended,CRISIL Dynamic Gilt Index,732.8,0.93,63.35,11.59,7.91,6.01,7.64,0.0,160311,20.24,9.12,6.87,0.1,0.5,1.21,0.59,2.15,23
UTI Gold ETF,Gold : ETFs,Niranjan Das,Open Ended,GoldNAIndia,1844.1,0.5,80.32,32.11,21.14,14.14,12.45,0.0,160311,3.105,2.595,7.065,0.83,0.33,0.8,1.43,13.05,17
UTI Gold ETF FoFNAReg(G),Gold : MFs,Sharwan Kumar Goyal,Open Ended,GoldNAIndia,224.6,0.56,18.17,30.75,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,1.25,0.48,1.3,1.11,12.16,2
UTI Healthcare FundNAReg(G),Equity : Sectoral NA Pharma,Kamal Gada,Open Ended,BSE Health Care NA TRI,1042.0,2.25,270.17,20.18,20.15,22.0,11.32,27.0,43944,3.105,2.595,7.065,0.15,0.28,0.55,0.95,15.53,19
UTI Income Plus Arbitrage Active FoFNAReg(G),FoFs : Domestic,Anurag Mittal,Open Ended,CRISIL Short Duration Debt Index,756.8,1.04,10.08,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
UTI India Consumer FundNAReg(G),Equity : Thematic NA Consumption,Vishal Chopda,Open Ended,Nifty India Consumption NA TRI,651.5,2.45,55.12,6.76,13.47,18.37,10.79,33.0,144533,3.105,2.595,7.065,0.15,0.18,0.32,0.96,14.77,17
UTI Infrastructure FundNAReg(G),Equity : Sectoral NA Infrastructure,Sachin Trivedi,Open Ended,Nifty Infrastructure NA TRI,2096.7,2.17,135.33,1.81,21.18,26.58,12.17,15.0,160515,3.105,2.595,7.065,0.14,0.28,0.56,0.95,16.05,20
UTI Innovation FundNAReg(G),Equity : Thematic,Ankit Agarwal,Open Ended,NIFTY 500 NA TRI,737.6,2.3,10.51,8.43,12.555,15.835,10.335,11.0,25081,3.105,2.595,7.065,0.15,0.28,0.01,1.05,19.55,1
UTI Large & Mid Cap FundNAReg(G),Equity : Large & Mid Cap,V. Srivatsa,Open Ended,NIFTY LargeMidcap 250 NA TRI,4100.8,1.89,169.8,10.81,21.2,28.33,13.4,36.0,108358,3.105,2.595,7.065,0.34,0.31,0.63,0.91,14.2,15
UTI Large Cap FundNAReg(G),Equity : Large Cap,Karthikraj Lakshmanan,Open Ended,BSE 100 NA TRI,12180.0,1.75,265.88,8.2,12.2,19.58,11.53,36.0,363019,3.105,2.595,7.065,0.15,0.15,0.28,0.92,12.84,19
UTI Liquid FundNAReg(G),Debt : Liquid,Amit Sharma,Open Ended,Nifty Liquid Fund Index,23382.8,0.24,4238.73,7.28,6.82,5.45,6.27,0.0,160311,0.17,0.17,7.0,0.16,2.44,0.97,0.29,0.31,21
UTI Long Duration FundNAReg(G),Debt : Long Duration,Sunil Patil,Open Ended,NIFTY Long Duration Debt Index,114.8,1.49,12.18,11.62,12.555,15.835,10.335,0.0,160311,37.45,12.6,7.02,0.15,0.44,1.15,1.33,3.63,2
UTI Low Duration FundNAReg(G),Debt : Low Duration,Anurag Mittal,Open Ended,NIFTY Low Duration Debt Index,2734.9,0.45,3508.62,8.2,7.0,7.25,6.27,0.0,160311,1.05,0.94,7.39,0.11,1.33,0.95,0.65,0.62,17
UTI Medium Duration FundNAReg(G),Debt : Medium Duration,Sunil Patil,Open Ended,NIFTY Medium Duration Debt Index,39.4,1.49,18.16,9.35,6.74,5.79,6.09,0.0,160311,4.58,3.43,7.26,0.04,0.48,0.79,0.48,1.53,10
UTI Medium to Long Duration FundNAReg(G),Debt : Medium to Long Duration,Sunil Patil,Open Ended,CRISIL Medium to Long Term Debt Index,319.6,1.61,73.46,10.93,10.14,8.98,5.77,0.0,160311,9.93,6.42,7.17,0.41,0.38,1.37,0.2,4.35,26
UTI Mid Cap FundNAReg(G),Equity : Mid Cap,Ankit Agarwal,Open Ended,Nifty Midcap 150 NA TRI,10649.4,1.76,275.92,5.34,14.79,26.26,13.67,37.0,43753,3.105,2.595,7.065,0.15,0.18,0.33,0.93,16.6,19
UTI MNC FundNAReg(G),Equity : Thematic NA MNC,Karthikraj Lakshmanan,Open Ended,NIFTY MNC NA TRI,2639.7,2.02,361.37,1.27,11.51,15.0,9.55,35.0,68999,3.105,2.595,7.065,0.15,0.17,0.32,0.87,12.91,26
UTI Money Market FundNAReg(G),Debt : Money Market,Amit Sharma,Open Ended,CRISIL Money Market Index,16265.3,0.23,3051.29,8.08,7.22,6.15,6.83,0.0,160311,0.8,0.79,7.24,0.15,1.7,1.0,0.53,0.52,15
UTI Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Sharwan Kumar Goyal,Open Ended,CRISIL Composite Bond Index,5285.0,1.76,71.86,8.74,18.46,17.35,10.02,226.0,265266,4.97,3.49,6.88,0.54,0.38,0.81,0.62,9.39,16
UTI Nifty 10 yr Benchmark GNASec ETF,Debt : ETFs,Jaydeep Bhowal,Open Ended,Nifty 10 yr Benchmark GNASec,22.7,0.25,25.74,12.54,12.555,15.835,10.335,536.79,160311,3.105,2.595,7.065,0.13,0.97,1.83,0.79,2.02,1
UTI Nifty 5 yr Benchmark GNASec ETF,Debt : ETFs,Jaydeep Bhowal,Open Ended,Nifty 5 yr Benchmark GNASec Index TRI,24.0,0.2,61.9,11.13,12.555,15.835,10.335,549.07,160311,3.105,2.595,7.065,0.1,1.11,1.59,0.84,1.46,1
UTI Nifty 50 ETF,Equity : ETFs,Sharwan Kumar Goyal,Open Ended,NIFTY 50 NA TRI,58194.8,0.05,265.07,8.74,13.71,21.07,10.335,16.79,541573,3.105,2.595,7.065,0.15,0.18,0.37,1.0,13.01,9
UTI Nifty 50 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,NIFTY 50 NA TRI,21356.2,0.25,166.24,8.45,13.38,20.76,12.39,8.0,541621,3.105,2.595,7.065,0.15,0.17,0.35,1.0,13.02,25
UTI Nifty 500 Value 50 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,NIFTY500 Value 50 NA TRI,512.3,1.03,18.29,8.43,12.555,15.835,10.335,52.61,126866,3.105,2.595,7.065,0.15,0.44,0.96,1.0,19.94,1
UTI Nifty Alpha LowNAVolatility 30 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,NIFTY Alpha LowNAVolatility 30 NA TRI,78.4,1.03,9.5,8.43,12.555,15.835,10.335,45.15,197963,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
UTI Nifty Bank ETF,Equity : ETFs,Sharwan Kumar Goyal,Open Ended,NIFTY BANK,3587.1,0.16,56.39,12.95,15.97,15.835,10.335,21.71,503473,1.0,2.595,7.065,0.15,0.18,0.37,1.0,15.67,4
UTI Nifty India Manufacturing Index FundNAReg(G),Equity : Thematic,Sharwan Kumar Goyal,Open Ended,Nifty India Manufacturing NA TRI,19.0,1.04,10.45,8.43,12.555,15.835,10.335,10.48,144573,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
UTI Nifty IT ETF,Equity : ETFs,Sharwan Kumar Goyal,Open Ended,NIFTY IT NA TRI,5.2,0.19,365.59,9.24,12.555,15.835,10.335,10.68,375890,3.105,2.595,7.065,0.15,0.28,0.55,1.0,22.56,1
UTI Nifty Midcap 150 ETF,Equity : ETFs,Sharwan Kumar Goyal,Open Ended,Nifty Midcap 150 NA TRI,8.9,0.26,199.56,6.54,12.555,15.835,10.335,48.31,55274,3.105,2.595,7.065,0.15,0.23,0.42,1.0,17.37,1
UTI Nifty Midcap 150 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,Nifty Midcap 150 NA TRI,45.6,1.04,9.49,8.43,12.555,15.835,10.335,19.01,55280,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
UTI Nifty Midcap 150 Quality 50 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,NIFTY Midcap150 Quality 50 NA TRI,240.2,0.88,13.32,8.5,11.52,15.835,10.335,47.47,51926,3.105,2.595,7.065,0.15,0.14,0.27,1.0,15.35,2
UTI Nifty Midsmallcap 400 Momentum Quality 100 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,Nifty MidSmallcap400 Momentum Quality 100 NA TRI,40.1,1.03,10.49,8.43,12.555,15.835,10.335,11.42,47422,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
UTI Nifty Next 50 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,NIFTY NEXT 50 NA TRI,4831.8,0.8,22.92,0.58,14.75,21.64,10.335,69.0,134057,3.105,2.595,7.065,0.15,0.16,0.29,1.0,20.0,6
UTI Nifty Private Bank Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,Nifty Private Bank NA TRI,206.4,1.03,10.12,8.43,12.555,15.835,10.335,28.22,409203,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
UTI Nifty SDL Plus AAA PSU Bond Apr 2026 75:25 Index FundNAReg(G),Debt : Medium Duration,Sunil Patil,Open Ended,Nifty SDL Plus AAA PSU Bond Apr 2026 75:25 Index,177.4,0.41,11.75,8.08,12.555,15.835,10.335,0.0,160311,0.9,0.85,6.85,0.18,1.44,1.13,0.22,0.7,2
UTI Nifty SDL Plus AAA PSU Bond Apr 2028 75:25 Index FundNAReg(G),Debt : Medium to Long Duration,Sunil Patil,Open Ended,Nifty SDL Plus AAA PSU Bond Apr 2028 75:25 Index,40.8,0.4,11.95,9.91,12.555,15.835,10.335,0.0,160311,2.92,2.52,7.03,0.13,0.98,1.42,0.47,1.26,2
UTI Nifty200 Momentum 30 Index FundNAReg(G),Equity : Index Funds,Sharwan Kumar Goyal,Open Ended,Nifty200 Momentum 30 NA TRI,7352.9,0.92,19.86,8.43,14.96,15.835,10.335,117.0,162580,3.105,2.595,7.065,0.15,0.13,0.23,1.0,20.66,4
